Type,Campaign,Ad Group,Keyword,Criterion Type,Match Type,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Final URL,Path 1,Path 2,Status,Location
Campaign,FR_Search_Nancy54_Local,,,,,,,,,,,,,Enabled,"Nancy, France"
Campaign,FR_Search_Nancy54_Local,,,,,,,,,,,,,Enabled,"Meurthe-et-Moselle, France"
Ad Group,FR_Search_Nancy54_Local,assurance_local,,,,,,,,,,,,Enabled,
Ad Group,FR_Search_Nancy54_Local,mutuelle_local,,,,,,,,,,,,Enabled,
Ad Group,FR_Search_Nancy54_Local,immo_vendre_acheter,,,,,,,,,,,,Enabled,
Ad Group,FR_Search_Nancy54_Local,pret_credit_immo,,,,,,,,,,,,Enabled,
Ad Group,FR_Search_Nancy54_Local,courtier_local,,,,,,,,,,,,Enabled,
Keyword,FR_Search_Nancy54_Local,pret_credit_immo,"simulation prêt Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/landings/credit-immo.html,simulation,pret,Enabled,
Keyword,FR_Search_Nancy54_Local,pret_credit_immo,"courtier crédit immobilier Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/nancy-54/,courtier,credit,Enabled,
Keyword,FR_Search_Nancy54_Local,courtier_local,"courtier Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/nancy-54/,courtier,nancy,Enabled,
Keyword,FR_Search_Nancy54_Local,courtier_local,"courtier local Nancy",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/nancy-54/,courtier,local,Enabled,
Keyword,FR_Search_Nancy54_Local,courtier_local,"courtier Varangéville",Keyword,Phrase,,,,,,,https://www.leadsopportunities.fr/agence-varangeville/,courtier,varangeville,Enabled,
Keyword,FR_Search_Nancy54_Local,courtier_local,[Wendy Buchet],Keyword,Exact,,,,,,,https://www.leadsopportunities.fr/agence-varangeville/,wendy,marque,Enabled,
Negative Keyword,FR_Search_Nancy54_Local,,emploi,Keyword,Phrase,,,,,,,,,Enabled,
Negative Keyword,FR_Search_Nancy54_Local,,stage,Keyword,Phrase,,,,,,,,,Enabled,
Negative Keyword,FR_Search_Nancy54_Local,,formation,Keyword,Phrase,,,,,,,,,Enabled,
Negative Keyword,FR_Search_Nancy54_Local,,gratuit pdf,Keyword,Phrase,,,,,,,,,Enabled,
Responsive Search Ad,FR_Search_Nancy54_Local,assurance_local,,,,Assurance Nancy Varangéville,Courtier ORIAS Local,Devis Sans Engagement,Mutuelle habitation auto emprunteur — bassin Nancy.,Wendy Buchet — 15 rue Pierre Curie Varangéville.,https://www.leadsopportunities.fr/nancy-54/,nancy,assurance,Enabled,
Responsive Search Ad,FR_Search_Nancy54_Local,mutuelle_local,,,,Mutuelle Nancy — Devis,Comparer Pour Payer Moins,Optique Dentaire Hospit,Garanties équivalentes puis meilleur tarif. Courtier 54.,Rappel sous 15 min en journée.,https://www.leadsopportunities.fr/landings/sante.html,mutuelle,nancy,Enabled,
Responsive Search Ad,FR_Search_Nancy54_Local,immo_vendre_acheter,,,,Maison Appartement Nancy,Acheter Ou Vendre 54,Budget Réel D Abord,Recherche de bien + financement calé. Courtier local.,Varangéville — Grand Nancy.,https://www.leadsopportunities.fr/landings/acheteur-immo.html,immo,nancy,Enabled,
Responsive Search Ad,FR_Search_Nancy54_Local,pret_credit_immo,,,,Prêt Immobilier Nancy,Simulation Crédit 54,2e Chance Après Refus,Multi-banques + assurance emprunteur. ORIAS.,Wendy Buchet — Varangéville.,https://www.leadsopportunities.fr/landings/credit-immo.html,pret,nancy,Enabled,
Responsive Search Ad,FR_Search_Nancy54_Local,courtier_local,,,,Courtier Local Nancy 54,Assurance Crédit Immo,Un Seul Interlocuteur,Cabinet Varangéville — appel ou rappel 15 min.,ORIAS 15005935.,https://www.leadsopportunities.fr/agence-varangeville/,courtier,local,Enabled,
